Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
6310,0, ,0, ,0,0,0,27.38,27.75,26.69,27.5
14:00.0,0, ,0, ,0,0,0,27.31,27.5,26.75,27.75
14:05.0,0, ,0, ,0,0,0,27.31,27.75,26.81,27.75
14:11.0,0, ,0, ,0,0,0,27.31,27.75,26.81,27.75
14:16.0,0, ,0, ,0,0,0,27.31,27.75,26.81,27.75
14:21.0,0, ,0, ,0,0,0,27.25,27.75,26.81,28
14:26.0,0, ,0, ,0,0,0,27.25,27.75,26.81,28
14:31.0,0, ,0, ,0,0,0,27.25,27.75,26.81,27.75
14:37.0,43.796806, N,70.176346, W,0.16,0,1,27.31,27.75,26.81,27.75
14:42.0,43.796829, N,70.176384, W,0.44,0,1,27.31,27.75,26.81,27.75
14:47.0,43.796803, N,70.176384, W,0,0,1,27.38,27.75,26.88,28
14:52.0,43.796829, N,70.176392, W,0,0,1,27.38,27.75,26.88,28
14:57.0,43.796841, N,70.176392, W,0,0,1,27.44,27.75,26.88,28
15:02.0,43.796848, N,70.176399, W,0,0,1,27.5,27.75,26.88,27.75
15:07.0,43.796852, N,70.176399, W,0,0,1,27.5,27.75,26.88,28
15:13.0,43.796852, N,70.176399, W,0,0,1,27.5,27.75,26.88,28
15:18.0,43.796848, N,70.176399, W,0,0,1,27.5,27.75,26.88,27.75
15:23.0,43.796848, N,70.176399, W,0,0,1,27.5,27.75,26.88,28
15:28.0,43.796848, N,70.176399, W,0,0,1,27.5,28,26.88,28
15:33.0,43.796848, N,70.176399, W,0,0,1,27.5,27.75,26.88,28
15:38.0,43.796848, N,70.176399, W,0,0,1,27.5,27.75,26.94,28.25
15:44.0,43.796848, N,70.176392, W,0,0,1,27.5,27.75,26.94,28
15:49.0,43.796848, N,70.176392, W,0,0,1,27.5,27.75,26.94,28.25
15:54.0,43.796848, N,70.176392, W,0,0,1,27.5,27.75,26.94,28.25
15:59.0,43.796848, N,70.176392, W,0,0,1,27.5,27.75,26.94,28
16:04.0,43.796848, N,70.176392, W,0,0,1,27.5,27.75,26.94,28.25
16:09.0,43.796848, N,70.176392, W,0,0,1,27.38,27.75,26.88,28.25
16:14.0,43.796848, N,70.176392, W,0,0,1,27.31,27.75,26.88,28
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
16:26.0,43.796829, N,70.176407, W,1.03,0,1,27,27.75,27.06,28.25
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
6400,0, ,0, ,0,0,0,27.13,28,27.19,28.25
11500,0, ,0, ,0,0,0,27.13,27.75,27.19,28.25
Time, Latitude, N/S, Longitude, E/W, Speed, Heading, Fix, High Temperature, High Ambient, Low Temperature, Low Ambient
6400,0, ,0, ,0,0,0,26.88,28,27.19,28.25
17:01.8,0, ,0, ,0,0,0,27,28,27.19,28.25
17:07.0,0, ,0, ,0,0,0,27.13,28,27.19,28.25
17:12.0,0, ,0, ,0,0,0,27.25,28,27.13,28.25
17:17.0,0, ,0, ,0,0,0,27.44,28,27.13,28.25
17:22.0,0, ,0, ,0,0,0,27.5,28,27.13,28.25
17:27.0,0, ,0, ,0,0,0,27.5,28,27,28.25
17:32.0,43.796703, N,70.176903, W,0.22,0,1,27.56,28,27,28.25
17:37.0,43.796703, N,70.176697, W,0.75,0,1,27.56,28,27,28.5
17:42.0,43.796738, N,70.176613, W,0,0,1,27.56,28,27,28.25
17:48.0,43.796795, N,70.176498, W,0,0,1,27.56,28,27,28.5
17:53.0,43.796844, N,70.176422, W,0,0,1,27.56,28,27,28.25
17:58.0,43.79686, N,70.176407, W,0,0,1,27.44,28,27,28.25
18:03.0,43.79686, N,70.176407, W,0,0,1,27.38,28,27.06,28.5
18:08.0,43.796856, N,70.176414, W,0,0,1,27.31,28,27,28.5
18:13.0,43.796856, N,70.176422, W,0,0,1,27.25,28.25,27,28.5
18:18.0,43.796856, N,70.176422, W,0,0,1,27.19,28.25,27,28.25
18:23.0,43.796856, N,70.176414, W,0,0,1,27.19,28,27,28.25
18:29.0,43.796852, N,70.176414, W,0,0,1,27.19,28.25,27,28.5
18:34.0,43.796852, N,70.176414, W,0,0,1,27.19,28.25,27,28.5
18:39.0,43.796848, N,70.176414, W,0,0,1,27.19,28.25,27.06,28.5
18:44.0,43.796848, N,70.176414, W,0,0,1,27.19,28,27,28.5
18:49.0,43.796844, N,70.176414, W,0,0,1,27.19,28.25,27.06,28.5
18:54.0,43.796844, N,70.176414, W,0,0,1,27.94,28,27.06,28.75
19:00.0,43.796844, N,70.176407, W,0,0,1,29,28,27.06,28.5
19:05.0,43.796844, N,70.176407, W,0,0,1,29.81,28.25,27.06,28.75
19:10.0,43.796844, N,70.176399, W,0,0,1,30.38,28.25,27.13,28.5
19:15.0,43.796844, N,70.176399, W,0,0,1,30.5,28.25,27.13,28.5
19:20.0,43.796841, N,70.176392, W,0,0,1,30.5,28.25,27.19,28.5
19:25.0,43.796841, N,70.176392, W,0,0,1,30.44,28.25,27.19,28.75
19:30.0,43.796841, N,70.176392, W,0,0,1,30.19,28.25,27.19,28.5
