date, time, head, tempHJ1, tempHJ2, tempCJ1, tempCJ2, latitude, longitude, m/s
2024-7-29,10:59:44,111.59,19.12,19.50,20.75,21.00,43.78523254,-70.12350463,11.472
2024-7-29,10:59:57,139.36,19.06,19.50,20.75,21.00,43.78430175,-70.12203979,13.309
2024-7-29,11:0:10,138.50,19.00,19.50,20.75,21.00,43.78305053,-70.12065887,13.823
2024-7-29,11:0:24,131.74,19.00,19.44,20.75,21.00,43.78181076,-70.11894989,13.988
2024-7-29,11:0:37,130.53,19.06,19.44,20.75,21.00,43.78074264,-70.11726379,13.761
2024-7-29,11:0:50,125.23,19.12,19.50,20.75,21.00,43.77979278,-70.11547088,13.849
2024-7-29,11:1:03,133.54,19.25,19.56,20.75,21.00,43.77870941,-70.11379241,13.869
2024-7-29,11:1:16,126.85,19.37,19.56,20.75,21.00,43.77774810,-70.11199951,13.854
2024-7-29,11:1:29,141.65,19.44,19.62,20.75,21.00,43.77662658,-70.11038208,13.880
2024-7-29,11:1:42,151.75,19.44,19.87,20.75,21.25,43.77527618,-70.10910034,14.065
2024-7-29,11:1:55,158.96,19.50,19.62,20.75,21.00,43.77376937,-70.10810852,14.178
2024-7-29,11:2:09,155.16,19.50,19.50,20.75,21.00,43.77218246,-70.10715484,13.273
2024-7-29,11:2:22,165.36,19.37,19.50,20.75,21.00,43.77074432,-70.10648345,12.810
2024-7-29,11:2:35,162.69,19.37,19.44,20.75,21.00,43.76934051,-70.10588836,12.547
2024-7-29,11:2:48,164.78,19.00,19.37,20.75,21.00,43.76789474,-70.10540771,12.774
2024-7-29,11:3:01,162.35,18.87,19.44,20.75,21.00,43.76679611,-70.10480499,6.647
2024-7-29,11:3:14,152.71,18.87,19.50,20.50,21.00,43.76638031,-70.10459136,6.431
2024-7-29,11:3:27,147.33,18.87,19.75,21.00,21.25,43.76536941,-70.10370635,13.520
2024-7-29,11:3:40,158.56,18.87,19.50,20.75,21.00,43.76388168,-70.10276794,12.573
2024-7-29,11:3:54,161.64,18.87,19.50,20.75,21.00,43.76266479,-70.10225677,5.818
2024-7-29,11:4:07,153.35,18.87,19.69,20.75,21.00,43.76237106,-70.10210418,2.011
2024-7-29,11:4:20,158.46,18.87,19.75,20.75,21.00,43.76224517,-70.10200500,0.890
2024-7-29,11:4:33,158.46,18.87,19.94,20.75,21.00,43.76215744,-70.10195922,0.638
2024-7-29,11:4:46,158.46,18.94,20.00,20.75,21.00,43.76208496,-70.10194396,0.592
2024-7-29,11:4:59,198.77,18.94,20.12,20.50,21.00,43.76200866,-70.10194396,0.550
2024-7-29,11:5:12,198.77,20.12,20.12,20.50,21.00,43.76195526,-70.10195159,0.581
2024-7-29,11:5:25,198.77,20.75,20.19,20.50,21.00,43.76189422,-70.10196685,0.000
2024-7-29,11:5:39,198.77,20.37,20.25,20.75,21.00,43.76183700,-70.10198974,0.000
2024-7-29,11:5:52,198.77,20.12,20.25,20.75,21.00,43.76176452,-70.10202789,0.545
2024-7-29,11:6:05,198.77,20.00,20.37,20.75,21.00,43.76169967,-70.10205841,0.535
2024-7-29,11:6:18,198.77,19.94,20.25,20.50,20.75,43.76164245,-70.10207366,0.473
2024-7-29,11:6:31,198.77,19.94,20.62,20.50,21.00,43.76159286,-70.10209655,0.473
2024-7-29,11:6:44,198.77,19.69,19.62,20.50,21.00,43.76153564,-70.10213470,0.000
2024-7-29,11:6:57,238.17,18.56,18.44,20.50,20.75,43.76151657,-70.10214996,0.000
2024-7-29,11:7:11,238.17,18.31,18.12,20.50,20.75,43.76150894,-70.10214996,0.000
2024-7-29,11:7:24,238.17,18.12,18.25,20.75,21.00,43.76147842,-70.10214996,0.000
2024-7-29,11:7:37,230.39,18.06,18.19,20.50,21.00,43.76145553,-70.10216522,1.518
2024-7-29,11:7:50,230.39,18.06,17.87,20.50,20.75,43.76143646,-70.10216522,0.000
2024-7-29,11:8:03,230.39,18.00,18.19,20.50,21.00,43.76141357,-70.10217285,0.761
2024-7-29,11:8:16,230.39,18.00,18.12,20.50,21.00,43.76140975,-70.10217285,0.000
2024-7-29,11:8:29,230.39,18.00,18.12,20.50,21.00,43.76140213,-70.10218048,0.000
2024-7-29,11:8:42,230.39,18.00,18.19,20.50,21.00,43.76139831,-70.10218048,0.000
2024-7-29,11:8:56,230.39,18.00,17.87,20.75,20.75,43.76135253,-70.10218811,0.000
2024-7-29,11:9:09,230.39,17.94,17.87,20.50,20.75,43.76133346,-70.10218048,0.000
2024-7-29,11:9:22,252.60,17.94,18.19,20.50,21.00,43.76131439,-70.10219573,0.000
2024-7-29,11:9:35,257.15,17.94,17.87,20.50,20.75,43.76129150,-70.10219573,0.000
2024-7-29,11:9:48,257.15,17.81,17.94,20.50,20.75,43.76127624,-70.10219573,0.000
2024-7-29,11:10:01,257.15,17.81,17.69,20.50,20.50,43.76126480,-70.10218811,0.000
2024-7-29,11:10:14,246.25,17.81,17.94,20.50,20.75,43.76124954,-70.10218811,0.715
2024-7-29,11:10:27,246.25,17.81,18.00,20.25,20.75,43.76123428,-70.10218811,0.000
2024-7-29,11:10:41,246.25,17.87,17.75,20.50,20.50,43.76121902,-70.10219573,0.000
2024-7-29,11:10:54,218.21,17.87,18.00,20.25,20.75,43.76119613,-70.10219573,0.000
